结算时间(AEST),州/区域代码,电价(AUD$/MWh)
2024/12/01 00:05:00,NSW1,105.61
2024/12/01 00:10:00,NSW1,104.95
2024/12/01 00:15:00,NSW1,110.02
2024/12/01 00:20:00,NSW1,104.5
2024/12/01 00:25:00,NSW1,104.89
2024/12/01 00:30:00,NSW1,99.06
2024/12/01 00:35:00,NSW1,104.89
2024/12/01 00:40:00,NSW1,119.05
2024/12/01 00:45:00,NSW1,106.54
2024/12/01 00:50:00,NSW1,104.97
2024/12/01 00:55:00,NSW1,110.02
2024/12/01 01:00:00,NSW1,110.02
2024/12/01 01:05:00,NSW1,110.02
2024/12/01 01:10:00,NSW1,110.02
2024/12/01 01:15:00,NSW1,114.37
2024/12/01 01:20:00,NSW1,115.17
2024/12/01 01:25:00,NSW1,110.02
2024/12/01 01:30:00,NSW1,110.02
2024/12/01 01:35:00,NSW1,112.57
2024/12/01 01:40:00,NSW1,148.0
2024/12/01 01:45:00,NSW1,110.02
2024/12/01 01:50:00,NSW1,117.08
2024/12/01 01:55:00,NSW1,108.43
2024/12/01 02:00:00,NSW1,110.02
2024/12/01 02:05:00,NSW1,110.02
2024/12/01 02:10:00,NSW1,104.39
2024/12/01 02:15:00,NSW1,94.39
2024/12/01 02:20:00,NSW1,95.08
2024/12/01 02:25:00,NSW1,103.52
2024/12/01 02:30:00,NSW1,87.73
2024/12/01 02:35:00,NSW1,102.62
2024/12/01 02:40:00,NSW1,100.29
2024/12/01 02:45:00,NSW1,102.16
2024/12/01 02:50:00,NSW1,100.42
2024/12/01 02:55:00,NSW1,102.63
2024/12/01 03:00:00,NSW1,103.23
2024/12/01 03:05:00,NSW1,89.12
2024/12/01 03:10:00,NSW1,110.02
2024/12/01 03:15:00,NSW1,106.0
2024/12/01 03:20:00,NSW1,103.19
2024/12/01 03:25:00,NSW1,102.01
2024/12/01 03:30:00,NSW1,87.5
2024/12/01 03:35:00,NSW1,80.0
2024/12/01 03:40:00,NSW1,87.5
2024/12/01 03:45:00,NSW1,80.0
2024/12/01 03:50:00,NSW1,87.5
2024/12/01 03:55:00,NSW1,87.5
2024/12/01 04:00:00,NSW1,87.5
2024/12/01 04:05:00,NSW1,112.78
2024/12/01 04:10:00,NSW1,114.36
2024/12/01 04:15:00,NSW1,110.02
2024/12/01 04:20:00,NSW1,110.02
2024/12/01 04:25:00,NSW1,110.02
2024/12/01 04:30:00,NSW1,105.32
2024/12/01 04:35:00,NSW1,80.0
2024/12/01 04:40:00,NSW1,80.0
2024/12/01 04:45:00,NSW1,80.0
2024/12/01 04:50:00,NSW1,80.0
2024/12/01 04:55:00,NSW1,80.0
2024/12/01 05:00:00,NSW1,87.89
2024/12/01 05:05:00,NSW1,80.0
2024/12/01 05:10:00,NSW1,80.0
2024/12/01 05:15:00,NSW1,80.0
2024/12/01 05:20:00,NSW1,80.0
2024/12/01 05:25:00,NSW1,83.65
2024/12/01 05:30:00,NSW1,87.5
2024/12/01 05:35:00,NSW1,87.5
2024/12/01 05:40:00,NSW1,81.14
2024/12/01 05:45:00,NSW1,87.5
2024/12/01 05:50:00,NSW1,76.0
2024/12/01 05:55:00,NSW1,78.17
2024/12/01 06:00:00,NSW1,76.58
2024/12/01 06:05:00,NSW1,74.26
2024/12/01 06:10:00,NSW1,56.98
2024/12/01 06:15:00,NSW1,73.83
2024/12/01 06:20:00,NSW1,56.98
2024/12/01 06:25:00,NSW1,80.0
2024/12/01 06:30:00,NSW1,80.0
2024/12/01 06:35:00,NSW1,76.72
2024/12/01 06:40:00,NSW1,80.0
2024/12/01 06:45:00,NSW1,77.19
2024/12/01 06:50:00,NSW1,74.52
2024/12/01 06:55:00,NSW1,76.0
2024/12/01 07:00:00,NSW1,75.98
2024/12/01 07:05:00,NSW1,71.93
2024/12/01 07:10:00,NSW1,76.72
2024/12/01 07:15:00,NSW1,76.0
2024/12/01 07:20:00,NSW1,73.76
2024/12/01 07:25:00,NSW1,56.98
2024/12/01 07:30:00,NSW1,67.94
2024/12/01 07:35:00,NSW1,54.42
2024/12/01 07:40:00,NSW1,76.72
2024/12/01 07:45:00,NSW1,59.69
2024/12/01 07:50:00,NSW1,56.98
2024/12/01 07:55:00,NSW1,56.98
2024/12/01 08:00:00,NSW1,47.32
2024/12/01 08:05:00,NSW1,76.72
2024/12/01 08:10:00,NSW1,97.56
2024/12/01 08:15:00,NSW1,76.72
2024/12/01 08:20:00,NSW1,76.0
2024/12/01 08:25:00,NSW1,57.01
2024/12/01 08:30:00,NSW1,76.0
2024/12/01 08:35:00,NSW1,57.52
2024/12/01 08:40:00,NSW1,76.72
2024/12/01 08:45:00,NSW1,59.82
2024/12/01 08:50:00,NSW1,76.0
2024/12/01 08:55:00,NSW1,56.98
2024/12/01 09:00:00,NSW1,56.98
2024/12/01 09:05:00,NSW1,56.98
2024/12/01 09:10:00,NSW1,46.33
2024/12/01 09:15:00,NSW1,56.98
2024/12/01 09:20:00,NSW1,56.98
2024/12/01 09:25:00,NSW1,56.98
2024/12/01 09:30:00,NSW1,20.0
2024/12/01 09:35:00,NSW1,-17.92
2024/12/01 09:40:00,NSW1,5.74
2024/12/01 09:45:00,NSW1,44.82
2024/12/01 09:50:00,NSW1,56.98
2024/12/01 09:55:00,NSW1,46.06
2024/12/01 10:00:00,NSW1,45.59
2024/12/01 10:05:00,NSW1,20.0
2024/12/01 10:10:00,NSW1,57.01
2024/12/01 10:15:00,NSW1,47.53
2024/12/01 10:20:00,NSW1,47.75
2024/12/01 10:25:00,NSW1,56.98
2024/12/01 10:30:00,NSW1,58.26
2024/12/01 10:35:00,NSW1,59.18
2024/12/01 10:40:00,NSW1,167.84
2024/12/01 10:45:00,NSW1,78.72
2024/12/01 10:50:00,NSW1,74.38
2024/12/01 10:55:00,NSW1,57.01
2024/12/01 11:00:00,NSW1,49.26
2024/12/01 11:05:00,NSW1,46.21
2024/12/01 11:10:00,NSW1,57.01
2024/12/01 11:15:00,NSW1,57.01
2024/12/01 11:20:00,NSW1,57.01
2024/12/01 11:25:00,NSW1,56.98
2024/12/01 11:30:00,NSW1,57.01
2024/12/01 11:35:00,NSW1,57.01
2024/12/01 11:40:00,NSW1,3.36
2024/12/01 11:45:00,NSW1,57.01
2024/12/01 11:50:00,NSW1,104.89
2024/12/01 11:55:00,NSW1,97.04
2024/12/01 12:00:00,NSW1,104.89
2024/12/01 12:05:00,NSW1,76.72
2024/12/01 12:10:00,NSW1,57.01
2024/12/01 12:15:00,NSW1,-30.0
2024/12/01 12:20:00,NSW1,57.01
2024/12/01 12:25:00,NSW1,87.5
2024/12/01 12:30:00,NSW1,157.54
2024/12/01 12:35:00,NSW1,194.4
2024/12/01 12:40:00,NSW1,195.26
2024/12/01 12:45:00,NSW1,84.38
2024/12/01 12:50:00,NSW1,105.74
2024/12/01 12:55:00,NSW1,117.18
2024/12/01 13:00:00,NSW1,105.74
2024/12/01 13:05:00,NSW1,104.89
2024/12/01 13:10:00,NSW1,104.54
2024/12/01 13:15:00,NSW1,418.35
2024/12/01 13:20:00,NSW1,187.0
2024/12/01 13:25:00,NSW1,186.15
2024/12/01 13:30:00,NSW1,76.0
2024/12/01 13:35:00,NSW1,76.0
2024/12/01 13:40:00,NSW1,-19.34
2024/12/01 13:45:00,NSW1,-24.6
2024/12/01 13:50:00,NSW1,2.73
2024/12/01 13:55:00,NSW1,0.0
2024/12/01 14:00:00,NSW1,45.0
2024/12/01 14:05:00,NSW1,57.01
2024/12/01 14:10:00,NSW1,57.01
2024/12/01 14:15:00,NSW1,57.63
2024/12/01 14:20:00,NSW1,89.01
2024/12/01 14:25:00,NSW1,87.5
2024/12/01 14:30:00,NSW1,135.76
2024/12/01 14:35:00,NSW1,106.82
2024/12/01 14:40:00,NSW1,145.96
2024/12/01 14:45:00,NSW1,103.12
2024/12/01 14:50:00,NSW1,87.89
2024/12/01 14:55:00,NSW1,80.0
2024/12/01 15:00:00,NSW1,141.31
2024/12/01 15:05:00,NSW1,73.41
2024/12/01 15:10:00,NSW1,58.7
2024/12/01 15:15:00,NSW1,76.0
2024/12/01 15:20:00,NSW1,57.23
2024/12/01 15:25:00,NSW1,55.26
2024/12/01 15:30:00,NSW1,56.02
2024/12/01 15:35:00,NSW1,52.53
2024/12/01 15:40:00,NSW1,53.2
2024/12/01 15:45:00,NSW1,52.57
2024/12/01 15:50:00,NSW1,57.01
2024/12/01 15:55:00,NSW1,52.17
2024/12/01 16:00:00,NSW1,53.49
2024/12/01 16:05:00,NSW1,33.42
2024/12/01 16:10:00,NSW1,39.38
2024/12/01 16:15:00,NSW1,41.52
2024/12/01 16:20:00,NSW1,40.66
2024/12/01 16:25:00,NSW1,35.18
2024/12/01 16:30:00,NSW1,45.0
2024/12/01 16:35:00,NSW1,42.84
2024/12/01 16:40:00,NSW1,78.87
2024/12/01 16:45:00,NSW1,82.96
2024/12/01 16:50:00,NSW1,78.84
2024/12/01 16:55:00,NSW1,71.29
2024/12/01 17:00:00,NSW1,92.83
2024/12/01 17:05:00,NSW1,80.6
2024/12/01 17:10:00,NSW1,79.43
2024/12/01 17:15:00,NSW1,96.25
2024/12/01 17:20:00,NSW1,84.98
2024/12/01 17:25:00,NSW1,108.19
2024/12/01 17:30:00,NSW1,172.53
2024/12/01 17:35:00,NSW1,197.39
2024/12/01 17:40:00,NSW1,149.17
2024/12/01 17:45:00,NSW1,234.97
2024/12/01 17:50:00,NSW1,280.13
2024/12/01 17:55:00,NSW1,300.03
2024/12/01 18:00:00,NSW1,360.28
2024/12/01 18:05:00,NSW1,348.86
2024/12/01 18:10:00,NSW1,357.32
2024/12/01 18:15:00,NSW1,307.1
2024/12/01 18:20:00,NSW1,299.49
2024/12/01 18:25:00,NSW1,149.96
2024/12/01 18:30:00,NSW1,269.09
2024/12/01 18:35:00,NSW1,180.39
2024/12/01 18:40:00,NSW1,248.33
2024/12/01 18:45:00,NSW1,191.36
2024/12/01 18:50:00,NSW1,250.01
2024/12/01 18:55:00,NSW1,228.99
2024/12/01 19:00:00,NSW1,207.28
2024/12/01 19:05:00,NSW1,229.39
2024/12/01 19:10:00,NSW1,228.45
2024/12/01 19:15:00,NSW1,206.23
2024/12/01 19:20:00,NSW1,220.9
2024/12/01 19:25:00,NSW1,199.5
2024/12/01 19:30:00,NSW1,200.9
2024/12/01 19:35:00,NSW1,213.79
2024/12/01 19:40:00,NSW1,200.9
2024/12/01 19:45:00,NSW1,198.97
2024/12/01 19:50:00,NSW1,210.84
2024/12/01 19:55:00,NSW1,215.11
2024/12/01 20:00:00,NSW1,211.25
2024/12/01 20:05:00,NSW1,211.24
2024/12/01 20:10:00,NSW1,209.31
2024/12/01 20:15:00,NSW1,200.9
2024/12/01 20:20:00,NSW1,200.12
2024/12/01 20:25:00,NSW1,188.02
2024/12/01 20:30:00,NSW1,189.05
2024/12/01 20:35:00,NSW1,215.73
2024/12/01 20:40:00,NSW1,221.76
2024/12/01 20:45:00,NSW1,219.0
2024/12/01 20:50:00,NSW1,207.57
2024/12/01 20:55:00,NSW1,189.25
2024/12/01 21:00:00,NSW1,209.81
2024/12/01 21:05:00,NSW1,192.97
2024/12/01 21:10:00,NSW1,213.95
2024/12/01 21:15:00,NSW1,216.46
2024/12/01 21:20:00,NSW1,219.33
2024/12/01 21:25:00,NSW1,216.9
2024/12/01 21:30:00,NSW1,217.25
2024/12/01 21:35:00,NSW1,211.19
2024/12/01 21:40:00,NSW1,271.24
2024/12/01 21:45:00,NSW1,222.56
2024/12/01 21:50:00,NSW1,224.21
2024/12/01 21:55:00,NSW1,197.06
2024/12/01 22:00:00,NSW1,176.63
2024/12/01 22:05:00,NSW1,223.18
