结算时间(AEST),州/区域代码,电价(AUD$/MWh)
2025/01/01 00:05:00,NSW1,138.03
2025/01/01 00:05:00,QLD1,154.3
2025/01/01 00:05:00,SA1,141.48
2025/01/01 00:05:00,TAS1,125.18
2025/01/01 00:05:00,VIC1,130.0
2025/01/01 00:10:00,NSW1,134.42
2025/01/01 00:10:00,QLD1,150.42
2025/01/01 00:10:00,SA1,136.59
2025/01/01 00:10:00,TAS1,120.28
2025/01/01 00:10:00,VIC1,125.5
2025/01/01 00:15:00,NSW1,135.89
2025/01/01 00:15:00,QLD1,150.07
2025/01/01 00:15:00,SA1,142.05
2025/01/01 00:15:00,TAS1,129.97
2025/01/01 00:15:00,VIC1,129.02
2025/01/01 00:20:00,NSW1,120.31
2025/01/01 00:20:00,QLD1,132.58
2025/01/01 00:20:00,SA1,129.64
2025/01/01 00:20:00,TAS1,118.28
2025/01/01 00:20:00,VIC1,116.97
2025/01/01 00:25:00,NSW1,119.89
2025/01/01 00:25:00,QLD1,132.08
2025/01/01 00:25:00,SA1,129.52
2025/01/01 00:25:00,TAS1,118.28
2025/01/01 00:25:00,VIC1,116.5
2025/01/01 00:30:00,NSW1,121.87
2025/01/01 00:30:00,QLD1,133.38
2025/01/01 00:30:00,SA1,134.72
2025/01/01 00:30:00,TAS1,118.28
2025/01/01 00:30:00,VIC1,119.44
2025/01/01 00:35:00,NSW1,111.65
2025/01/01 00:35:00,QLD1,122.95
2025/01/01 00:35:00,SA1,122.95
2025/01/01 00:35:00,TAS1,113.23
2025/01/01 00:35:00,VIC1,110.18
2025/01/01 00:40:00,NSW1,119.05
2025/01/01 00:40:00,QLD1,129.42
2025/01/01 00:40:00,SA1,134.27
2025/01/01 00:40:00,TAS1,120.28
2025/01/01 00:40:00,VIC1,118.58
2025/01/01 00:45:00,NSW1,119.49
2025/01/01 00:45:00,QLD1,129.06
2025/01/01 00:45:00,SA1,135.86
2025/01/01 00:45:00,TAS1,120.28
2025/01/01 00:45:00,VIC1,119.08
2025/01/01 00:50:00,NSW1,115.95
2025/01/01 00:50:00,QLD1,125.13
2025/01/01 00:50:00,SA1,134.19
2025/01/01 00:50:00,TAS1,119.28
2025/01/01 00:50:00,VIC1,117.29
2025/01/01 00:55:00,NSW1,128.51
2025/01/01 00:55:00,QLD1,138.68
2025/01/01 00:55:00,SA1,149.74
2025/01/01 00:55:00,TAS1,122.6
